"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000014364443";"Aéreo";"Brasil";"Rio Grande do Sul";"Santa Maria";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"110,69";"0,00"
"0000000000014364443";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Rio Grande do Sul";"Santa Maria";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"117,10";"0,00"
"0000000000014373237";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"285,88";"0,00"
"0000000000014373237";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"189,95";"0,00"
"0000000000014373356";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"285,88";"0,00"
"0000000000014373356";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"189,95";"0,00"
"0000000000014373450";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"189,95";"0,00"
"0000000000014373450";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"285,88";"0,00"
"0000000000014373537";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"189,95";"0,00"
"0000000000014373537";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"285,88";"0,00"
